Jogo,Categoria,Avaliação
Item [jogos=Temple Run 2, categoria=Ação, avaliacao=4.4]
Item [jogos=Archero, categoria=Ação, avaliacao=4.5]
Item [jogos=Super Mario Run, categoria=Ação, avaliacao=3.8]
Item [jogos=Sniper 3D, categoria=Ação, avaliacao=4.5]
Item [jogos=Fúria Sniper, categoria=Ação, avaliacao=4.2]
Item [jogos=Paciência, categoria=Cartas, avaliacao=4.4]
Item [jogos=Buraco, categoria=Cartas, avaliacao=4.5]
Item [jogos=Solitário, categoria=Cartas, avaliacao=4.7]
Item [jogos=FreeCell, categoria=Cartas, avaliacao=4.5]
Item [jogos=Real Racing 3, categoria=Corrida, avaliacao=4.5]
Item [jogos=Corrida de Moto Real 3D, categoria=Corrida, avaliacao=4.2]
Item [jogos=Correndo no carro, categoria=Corrida, avaliacao=3.9]
Item [jogos=Corrida de Rua 3D, categoria=Corrida, avaliacao=4.4]
Item [jogos=Basketball, categoria=Esportes, avaliacao=4.4]
Item [jogos=The Journey Jogo de surf, categoria=Esportes, avaliacao=4.0]
Item [jogos=Estalido Tênis 3D, categoria=Esportes, avaliacao=4.4]
Item [jogos=Pes 2019, categoria=Esportes, avaliacao=4.2]
Item [jogos=Futebol, categoria=Esportes, avaliacao=2.8]
Item [jogos=Snowboard Master 3D, categoria=Esportes, avaliacao=4.3]
Item [jogos=Fifa Futebol, categoria=Esportes, avaliacao=4.1]
Item [jogos=Narcos, categoria=Estratégia, avaliacao=4.6]
Item [jogos=Crazy Chef, categoria=Estratégia, avaliacao=4.6]
Item [jogos=Influence, categoria=Estratégia, avaliacao=4.0]
Item [jogos=Xadrez, categoria=Estratégia, avaliacao=4.2]
Item [jogos=Atirador de Bolhas, categoria=Estratégia, avaliacao=4.4]
Item [jogos=CodyCross, categoria=Palavras, avaliacao=4.5]
Item [jogos=Pilha Palavras, categoria=Palavras, avaliacao=4.7]
Item [jogos=Caça-palavras, categoria=Palavras, avaliacao=4.5]
Item [jogos=Palavras Conectadas, categoria=Palavras, avaliacao=4.7]
Item [jogos=Words of Wonders, categoria=Palavras, avaliacao=4.6]
Item [jogos=Jewels clássico , categoria=Quebra-cabeça, avaliacao=4.5]
Item [jogos=Block Puzzle, categoria=Quebra-cabeça, avaliacao=4.5]
Item [jogos=Spot Conect, categoria=Quebra-cabeça, avaliacao=4.5]
Item [jogos=Energy, categoria=Quebra-cabeça, avaliacao=4.7]
Item [jogos=Sudoku, categoria=Quebra-cabeça, avaliacao=4.8]
Item [jogos=Nova Fantasia , categoria=RPG, avaliacao=4.1]
Item [jogos=Evil Lands, categoria=RPG, avaliacao=4.4]
Item [jogos=Vampire’s Fall, categoria=RPG, avaliacao=4.6]
Item [jogos=Exiled Kingdoms, categoria=RPG, avaliacao=4.6]
Item [jogos=Order & Chaos 2, categoria=RPG, avaliacao=3.9]
